subj,subj_type,subj_span,obj,obj_type,obj_span,relation
That means you can take a line and cut out some of the pork out of a meaningful bill,Claim,"((79769, 79853),)",that's the only protection the taxpayer has against some of these reckless pork programs up there,Claim,"((79920, 80017),)",Support
"Look at the 24 generals and admirals, retired, that have endorsed me, including the deputy commander of Desert Storm",Premise,"((90741, 90857),)",Look at the Republicans that have endorsed me,Premise,"((90649, 90694),)",Support
"when you hear him say we're going to tax only the rich, watch your wallet",Claim,"((4880, 4953),)",just cutting taxes on the wealthiest Americans,Claim,"((2522, 2568),)",Attack
I don't agree that there are no women and minorities in important positions in my campaign,Claim,"((63175, 63265),)","when we look at the circle of the key people closest to you, your inner circle of advisers, we see white men only",Claim,"((57849, 57962),)",Attack
I don't think that we have any reason to believe that the dimensions of this crisis are anywhere near as great as the savings and loan crisis,Claim,"((71132, 71273),)",there are rumblings that a commercial bank crisis is on the horizon,Claim,"((70666, 70733),)",Support
there's a good reform program for you,Claim,"((80163, 80200),)",I'd rather be able to just line it right out of there and get on about passing some good stuff but leave out the garbage,Claim,"((80023, 80143),)",Support
"Look at Sarah Brady, Jim Brady's wife, President Reagan's press secretary, who endorsed me",Premise,"((90859, 90949),)",Look at the Republicans that have endorsed me,Premise,"((90649, 90694),)",Support
"when you hear him say we're going to tax only the rich, watch your wallet",Claim,"((4880, 4953),)",But not by raising taxes,Claim,"((4831, 4855),)",Support
For most of my time as governor a woman was my chief of staff,Premise,"((63336, 63397),)",I think even more relevant is my record at home,Claim,"((63287, 63334),)",Support
I don't think that we have any reason to believe that the dimensions of this crisis are anywhere near as great as the savings and loan crisis,Claim,"((71132, 71273),)",not to frighten people,Claim,"((71687, 71709),)",Support
I agree that we need to cut spending in Congress,Claim,"((77656, 77704),)",You've got to reform Congress,Claim,"((75990, 76019),)",Support
he knuckled under to the NRA and wouldn't fight for the Brady Bil,Premise,"((90958, 91023),)","Look at Sarah Brady, Jim Brady's wife, President Reagan's press secretary, who endorsed me",Premise,"((90859, 90949),)",Support
"he's going to sock it right to the middle class taxpayer and lower,",Claim,"((4991, 5058),)","when you hear him say we're going to tax only the rich, watch your wallet",Claim,"((4880, 4953),)",Support
An African American was my chief cabinet officer,Premise,"((63399, 63447),)",I think even more relevant is my record at home,Claim,"((63287, 63334),)",Support
they have made our recession worse in the last couple of years,Claim,"((71910, 71972),)","We don't want to overreact, as the federal regulators have in my judgment, on good banks so that they've created credit crunches",Claim,"((71771, 71899),)",Support
"I am going to change this country and make it better, with the help of the American people",Claim,"((91092, 91182),)",We've got a broad-based coalition that goes beyond party,Claim,"((91027, 91083),)",Support
he's going to pay for all the spending programs he proposes,Premise,"((5062, 5121),)","he's going to sock it right to the middle class taxpayer and lower,",Claim,"((4991, 5058),)",Support
An African American was my chief economic development officer,Premise,"((63449, 63510),)",I think even more relevant is my record at home,Claim,"((63287, 63334),)",Support
we do want to act prudently with the banks that are in trouble,Claim,"((71980, 72042),)","We don't want to overreact, as the federal regulators have in my judgment, on good banks so that they've created credit crunches",Claim,"((71771, 71899),)",Support
I do not want any more trickle down government,Claim,"((5181, 5227),)",I don't like is trickle down government,Claim,"((4162, 4201),)",Equivalent
"There was a story today or yesterday in the Washington Post about my economic programs and my chief budget officer and my chief economic officer were both African Americans, even though the Post didn't mention that",Premise,"((63538, 63752),)",I think is a sign of progress,Claim,"((63760, 63789),)",Support
"We don't want to overreact, as the federal regulators have in my judgment, on good banks so that they've created credit crunches",Claim,"((71771, 71899),)",we have to enforce the law in 2 ways,Claim,"((71732, 71768),)",Support
It's gotten too big,Premise,"((5229, 5248),)",I do not want any more trickle down government,Claim,"((5181, 5227),)",Support
I think is a sign of progress,Claim,"((63760, 63789),)",I think even more relevant is my record at home,Claim,"((63287, 63334),)",Support
We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures,Claim,"((72045, 72173),)",we have to enforce the law in 2 ways,Claim,"((71732, 71768),)",Support
I do not want any more trickle down government,Claim,"((5181, 5227),)",I want to do something about that,Claim,"((5250, 5283),)",Support
"I've appointed more minorities to positions of high level in government than all the governors in the history of my state combined, before me",Premise,"((63936, 64077),)",that's what I'll do as president,Claim,"((64083, 64115),)",Support
I think that our goal ought to be first of all not to politicize it,Claim,"((71618, 71685),)",not to frighten people,Claim,"((71687, 71709),)",Support
we still have a significant deficit under each of their plans,Claim,"((5465, 5526),)","The basic problem with it, it doesn't balance the budget",Claim,"((5383, 5439),)",Support
"I've appointed more minorities to positions of high level in government than all the governors in the history of my state combined, before me",Premise,"((63936, 64077),)",I don't agree that there are no women and minorities in important positions in my campaign,Claim,"((63175, 63265),)",Support
the taxpayers should not,Claim,"((72175, 72199),)",We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures,Claim,"((72045, 72173),)",Support
"If you take a patient into the hospital that's bleeding arterially, step one is to stop the bleeding",Premise,"((5599, 5699),)",Our challenge is to stop the financial bleeding,Claim,"((5550, 5597),)",Support
"The Natl Women's Political Caucus gave me an award, one of their Good Guy Awards, for my involvement of women in high levels of government",Premise,"((63792, 63930),)",I don't agree that there are no women and minorities in important positions in my campaign,Claim,"((63175, 63265),)",Support
we have to enforce the law in 2 ways,Claim,"((71732, 71768),)",that will be my policy,Claim,"((72205, 72227),)",Support
we are bleeding arterially,Claim,"((5705, 5731),)",Our challenge is to stop the financial bleeding,Claim,"((5550, 5597),)",Support
"I think I owe the American people a White House staff, a Cabinet and appointments that look like America but that meet high standards of excellence, and that's what I'll do",Claim,"((64163, 64335),)",that's what I'll do as president,Claim,"((64083, 64115),)",Support
if we have a good balanced approach,Premise,"((72244, 72279),)",we can get the good banks loaning money again,Claim,"((72281, 72326),)",Support
to stop the deterioration of our job base,Claim,"((5780, 5821),)",There's only one way out of this,Claim,"((5734, 5766),)",Support
I happen to think she's a key person,Claim,"((58197, 58233),)",I think our Cabinet members are key people,Claim,"((58235, 58277),)",Support
if we have a good balanced approach,Premise,"((72244, 72279),)",end the credit crunch,Claim,"((72328, 72349),)",Support
"to have a growing, expanding job base",Claim,"((5823, 5860),)",There's only one way out of this,Claim,"((5734, 5766),)",Support
I plead guilty to that,Premise,"((58727, 58749),)",You can look all around and you'll see first-class strong women,Claim,"((58636, 58699),)",Attack
if we have a good balanced approach,Premise,"((72244, 72279),)",have proper regulation on the ones that are in trouble,Claim,"((72351, 72405),)",Support
to give us the tax base,Claim,"((5862, 5885),)","to have a growing, expanding job base",Claim,"((5823, 5860),)",Support
look who's around with him there,Premise,"((58768, 58800),)",I plead guilty to that,Premise,"((58727, 58749),)",Attack
if we have a good balanced approach,Premise,"((72244, 72279),)",not overreact,Claim,"((72411, 72424),)",Support
balancing the budget is not nearly as difficult as paying off the $4 trillion debt and leaving our children the American dream intact,Premise,"((5894, 6027),)",There's only one way out of this,Claim,"((5734, 5766),)",Support
You can look all around and you'll see first-class strong women,Claim,"((58636, 58699),)",We've got a very good record appointing women to high positions and positions of trust,Claim,"((58881, 58967),)",Support
not overreact,Claim,"((72411, 72424),)","We don't want to overreact, as the federal regulators have in my judgment, on good banks so that they've created credit crunches",Claim,"((71771, 71899),)",Equivalent
we didn't want to disrupt the economy,Premise,"((6214, 6251),)",We didn't do it faster than that,Claim,"((6173, 6205),)",Support
there is a problem in the sense that there are some problem banks,Claim,"((70841, 70906),)","I don't see it as the kind of terrible, terrible problem that the S&amp;L problem was",Claim,"((72455, 72540),)",Support
We gave it off to a slow start and a fast finish to give the economy time to recover,Premise,"((6253, 6337),)",We didn't do it faster than that,Claim,"((6173, 6205),)",Support
The banking system in this country is fundamentally sound with some weak banks,Claim,"((71538, 71616),)","I don't see it as the kind of terrible, terrible problem that the S&amp;L problem was",Claim,"((72455, 72540),)",Support
There's only one way out of this,Claim,"((5734, 5766),)","The basic problem with it, it doesn't balance the budget",Claim,"((5383, 5439),)",Support
It is sound,Claim,"((72698, 72709),)",I don't believe it would be appropriate for a president to suggest that the banking system is not sound,Claim,"((72593, 72696),)",Support
Our challenge is to stop the financial bleeding,Claim,"((5550, 5597),)","The basic problem with it, it doesn't balance the budget",Claim,"((5383, 5439),)",Support
what we need is financial reform,Claim,"((72755, 72787),)",I have proposed that,Claim,"((72857, 72877),)",Support
"The basic problem with it, it doesn't balance the budget",Claim,"((5383, 5439),)",This will work,Claim,"((3453, 3467),)",Attack
"we need some real financial reform, banking reform legislation",Claim,"((72789, 72851),)",I have proposed that,Claim,"((72857, 72877),)",Support
We have spent their money,Claim,"((6030, 6055),)",We've got to pay it back,Claim,"((6057, 6081),)",Support
doesn't put a lot of inhibitions on it,Claim,"((73077, 73115),)",I believe one of the first things ought to be to press a new Congress not beholden to the old ways to pass financial reform legislation that modernizes the banking system,Claim,"((72905, 73075),)",Support
We've got to pay it back,Claim,"((6057, 6081),)",My plan balances the budget within 6 years,Claim,"((6129, 6171),)",Support
protects the depositors through keeping the FDIC sound,Claim,"((73121, 73175),)",I believe one of the first things ought to be to press a new Congress not beholden to the old ways to pass financial reform legislation that modernizes the banking system,Claim,"((72905, 73075),)",Support
We didn't do it faster than that,Claim,"((6173, 6205),)",My plan balances the budget within 6 years,Claim,"((6129, 6171),)",Support
I just was watching some of the proceedings of the American Bankers Assn,Premise,"((73197, 73269),)",I think the general feeling is most of the banks are sound,Claim,"((73275, 73333),)",Support
His own analysis says that unemployment will be slightly higher in 1995 under his plan than it is today,Premise,"((7430, 7533),)",I disagree with Mr. Perot that the answer is to raise -- put a 50-cent gas tax on the middle class and raise more taxes on the middle class and the working poor than on the wealthy,Claim,"((7248, 7428),)",Attack
I think the general feeling is most of the banks are sound,Claim,"((73275, 73333),)",It is sound,Claim,"((72698, 72709),)",Support
he's going to pay for all the spending programs he proposes,Premise,"((5062, 5121),)",we have a big difference on this trickle down theory,Claim,"((5127, 5179),)",Support
I don't believe it would be appropriate for a president to suggest that the banking system is not sound,Claim,"((72593, 72696),)","certainly there's no comparison here between what happened to the S&amp;Ls and where the banks stand right now, in my view",Claim,"((73335, 73457),)",Support
I do not want any more trickle down government,Claim,"((5181, 5227),)",we have a big difference on this trickle down theory,Claim,"((5127, 5179),)",Support
they were flooding both parties with crooked PAC money,Claim,"((74102, 74156),)",Nobody touched that tar baby till the day after election in 1988,Claim,"((74029, 74093),)",Support
"just this year, Mr. Bush vetoed a tax increase on the wealthy that gave middle class tax relief",Premise,"((7654, 7749),)",he is the person who raised taxes on the middle class after saying he wouldn't,Premise,"((7570, 7648),)",Support
it was in many cases stolen PAC money,Claim,"((74162, 74199),)",they were flooding both parties with crooked PAC money,Claim,"((74102, 74156),)",Support
He vetoed middle class tax relief this year,Premise,"((7751, 7794),)","just this year, Mr. Bush vetoed a tax increase on the wealthy that gave middle class tax relief",Premise,"((7654, 7749),)",Equivalent
nobody's gotten into the real issue yet on the savings and loan again,Claim,"((73504, 73573),)",Nobody touched that tar baby till the day after election in 1988,Claim,"((74029, 74093),)",Support
he asked Congress to spend more money than it actually spent,Premise,"((7906, 7966),)","under this administration, spending has increased more than it has in the last 20 years",Premise,"((7814, 7901),)",Support
they buried it till right after the election,Premise,"((74323, 74367),)",Nobody touched that tar baby till the day after election in 1988,Claim,"((74029, 74093),)",Support
"under this administration, spending has increased more than it has in the last 20 years",Premise,"((7814, 7901),)",it's hard to out-spend Congress but he tried to for the last 3 years,Claim,"((7973, 8041),)",Support
if you believe The Washington Post and you believe this extensive study that's been done -- and I'm reading it -- right after election day this year they're going to hit us with a hundred banks,Premise,"((74375, 74568),)",it will be a $100-billion problem,Claim,"((74570, 74603),)",Support
he is the person who raised taxes on the middle class after saying he wouldn't,Premise,"((7570, 7648),)",my view is the middle class is the -- they've been suffering,Claim,"((8047, 8107),)",Support
nobody's gotten into the real issue yet on the savings and loan again,Claim,"((73504, 73573),)",it will be a $100-billion problem,Claim,"((74570, 74603),)",Support
it's hard to out-spend Congress but he tried to for the last 3 years,Claim,"((7973, 8041),)",my view is the middle class is the -- they've been suffering,Claim,"((8047, 8107),)",Support
let's look at where I think the real mistake was made,Claim,"((67821, 67874),)",the responsibility was in coddling Saddam Hussein when there was no reason to do it,Claim,"((68671, 68754),)",Support
"I don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector",Claim,"((8524, 8656),)",The answer is to invest and grow this economy,Claim,"((8658, 8703),)",Support
what you're seeing on all this Iraq-gate is a bunch of people who were wrong on the war trying to cover their necks here and try to do a little revisionism,Claim,"((69676, 69831),)",the responsibility was in coddling Saddam Hussein when there was no reason to do it,Claim,"((68671, 68754),)",Attack
It has gone up,Claim,"((8508, 8522),)","I don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector",Claim,"((8524, 8656),)",Support
The tax burden on them has not gone down,Claim,"((8466, 8506),)","I don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector",Claim,"((8524, 8656),)",Support
Middle class Americans are working harder for less money than they were making ten years ago and they're paying higher taxes,Premise,"((8340, 8464),)","I don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector",Claim,"((8524, 8656),)",Support
Middle class Americans are working harder for less money than they were making ten years ago and they're paying higher taxes,Premise,"((8340, 8464),)","Should they pay more for Social Security if they get more out of it than they paid in, they're upper income people? Yes",Claim,"((8173, 8292),)",Attack
Middle class Americans are working harder for less money than they were making ten years ago and they're paying higher taxes,Premise,"((8340, 8464),)",should people pay more for Medicare if they can? Yes,Claim,"((8119, 8171),)",Attack
that's what'll work here,Claim,"((8746, 8770),)",The answer is to invest and grow this economy,Claim,"((8658, 8703),)",Support
That's what works in other countries,Premise,"((8705, 8741),)",that's what'll work here,Claim,"((8746, 8770),)",Support
I didn't want to do it,Claim,"((9146, 9168),)",he is the person who raised taxes on the middle class after saying he wouldn't,Premise,"((7570, 7648),)",Attack
I went along with it,Premise,"((9173, 9193),)",I didn't want to do it,Claim,"((9146, 9168),)",Support
it was a Democratic tax increase,Premise,"((9108, 9140),)",I didn't want to do it,Claim,"((9146, 9168),)",Support
I make a mistake,Claim,"((9206, 9222),)",I didn't want to do it,Claim,"((9146, 9168),)",Support
I think everybody's paying too much taxes,Claim,"((9016, 9057),)",I think everyone's paying too much,Claim,"((9328, 9362),)",Equivalent
"If I make a mistake, I admit it. That's quite different than some",Claim,"((9224, 9289),)",I make a mistake,Claim,"((9206, 9222),)",Support
we've got to get the job done,Claim,"((4800, 4829),)",I want to get the deficit down by controlling the growth of mandatory spending,Claim,"((4620, 4698),)",Support
"They were at 21.5% under Jimmy Carter, and inflation was 15",Premise,"((9695, 9754),)","We remember what it was like when we had a spending president and a spending Congress, and interest rates",Premise,"((9566, 9671),)",Support
the American taxpayer ought to be glad they have a president to stand up to a spending Congress,Claim,"((9469, 9564),)",We don't want to go back to that,Claim,"((9756, 9788),)",Support
"We remember what it was like when we had a spending president and a spending Congress, and interest rates",Premise,"((9566, 9671),)",We don't want to go back to that,Claim,"((9756, 9788),)",Support
I think everyone's paying too much,Claim,"((9328, 9362),)",everybody's taxed too much,Claim,"((9803, 9829),)",Equivalent
everybody's taxed too much,Claim,"((9803, 9829),)",I want to get the taxes down,Claim,"((9834, 9862),)",Support
I want to get the taxes down,Claim,"((9834, 9862),)",not by signing a tax bill that's gonna raise taxes on people,Claim,"((9868, 9928),)",Attack
the American taxpayer ought to be glad they have a president to stand up to a spending Congress,Claim,"((9469, 9564),)",he asked Congress to spend more money than it actually spent,Premise,"((7906, 7966),)",Attack
the record in Arkansas,Premise,"((10118, 10140),)","If I make a mistake, I admit it. That's quite different than some",Claim,"((9224, 9289),)",Support
he says Arkansas's a poor state. They are,Premise,"((10218, 10259),)",the record in Arkansas,Premise,"((10118, 10140),)",Support
he says Arkansas's a poor state. They are,Premise,"((10218, 10259),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Support
the record in Arkansas,Premise,"((10118, 10140),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Support
in almost every category they're lagging,Claim,"((10265, 10305),)","If I make a mistake, I admit it. That's quite different than some",Claim,"((9224, 9289),)",Support
I'll give you an example. He talks about all the jobs he's created in one or 2 years,Premise,"((10307, 10391),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
"Over the last ten years since he's been governor, they're 30% behind, 30% -- they're 30% of the national average",Premise,"((10393, 10505),)",I'll give you an example. He talks about all the jobs he's created in one or 2 years,Premise,"((10307, 10391),)",Attack
"Over the last ten years since he's been governor, they're 30% behind, 30% -- they're 30% of the national average",Premise,"((10393, 10505),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Support
"On pay for teachers, on all these categories, Arkansas is right near the very bottom",Premise,"((10507, 10591),)",I'll give you an example. He talks about all the jobs he's created in one or 2 years,Premise,"((10307, 10391),)",Attack
"On pay for teachers, on all these categories, Arkansas is right near the very bottom",Premise,"((10507, 10591),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Support
"he's been talking about my record for a half a year here, 11 months here",Premise,"((10791, 10863),)",It's not dirty campaigning,Claim,"((10756, 10782),)",Support
"Arkansas is doing very, very badly against any standard -- environment, support for police officers, whatever it is",Claim,"((10957, 11072),)","If I make a mistake, I admit it. That's quite different than some",Claim,"((9224, 9289),)",Support
Bureau of Labor Statistics says that Arkansas ranks first in the country in the growth of new jobs this year,Premise,"((11129, 11237),)","Over the last ten years since he's been governor, they're 30% behind, 30% -- they're 30% of the national average",Premise,"((10393, 10505),)",Attack
This year,Premise,"((11253, 11262),)",Bureau of Labor Statistics says that Arkansas ranks first in the country in the growth of new jobs this year,Premise,"((11129, 11237),)",Attack
4th in manufacturing jobs,Premise,"((11274, 11299),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
4th in the reduction of poverty,Premise,"((11301, 11332),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
4th in income increase,Premise,"((11334, 11356),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
Over the last 10 years we've created manufacturing jobs much more rapidly than the national average,Premise,"((11358, 11457),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
Over the last 5 years our income has grown more rapidly than the national average,Premise,"((11459, 11540),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
"We are 2nd in tax burden, the 2nd lowest tax burden in the country",Premise,"((11542, 11608),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
We have the lowest per capita state and local spending in the country,Premise,"((11610, 11679),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
"We're low spending, low tax burden",Premise,"((11681, 11715),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
We dramatically increased investment and our jobs are growing,Premise,"((11717, 11778),)",in almost every category they're lagging,Claim,"((10265, 10305),)",Attack
"It has a population less than Chicago or Los Angeles, about the size of Dallas and Forth Worth combined",Premise,"((12189, 12292),)",I think probably we're making a mistake night after night after night to cast the nation's future on a unit that small,Claim,"((12297, 12415),)",Support
It's a fairly rural state,Premise,"((12162, 12187),)",I think probably we're making a mistake night after night after night to cast the nation's future on a unit that small,Claim,"((12297, 12415),)",Support
I think probably we're making a mistake night after night after night to cast the nation's future on a unit that small,Claim,"((12297, 12415),)",I wish America had that kind of record,Claim,"((11780, 11818),)",Attack
It's irrelevant,Premise,"((12458, 12473),)",I think probably we're making a mistake night after night after night to cast the nation's future on a unit that small,Claim,"((12297, 12415),)",Support
"I could say, you know, that I ran a small grocery store on the corner, therefore I extrapolate that into the fact that I can run Wal-Mart",Premise,"((12571, 12708),)",It's irrelevant,Premise,"((12458, 12473),)",Support
I think it is highly relevant,Claim,"((12863, 12892),)",It's irrelevant,Premise,"((12458, 12473),)",Attack
I think that a 4-billion dollar budget of state and federal funds is not all that small,Claim,"((12898, 12985),)",I think it is highly relevant,Claim,"((12863, 12892),)",Support
I took a state that was one of the poorest states in the country and had been for 153 years,Premise,"((13013, 13104),)",I think it is highly relevant,Claim,"((12863, 12892),)",Support
tried my best to modernize its economy,Premise,"((13109, 13147),)",I think it is highly relevant,Claim,"((12863, 12892),)",Support
are highly relevant,Claim,"((13399, 13418),)",I think it is highly relevant,Claim,"((12863, 12892),)",Equivalent
"to make the kind of changes that have generated support from people like the presidents of Apple Computer and Hewlett-Packard and some of the biggest companies in this country, 24 retired generals and admirals and hundreds of business executives",Premise,"((13152, 13397),)",I think it is highly relevant,Claim,"((12863, 12892),)",Support
I'm frankly amazed that since you grew up 5 blocks from there you would think that what goes on in that state is irrelevant,Premise,"((13435, 13558),)",It's irrelevant,Premise,"((12458, 12473),)",Attack
The people who have jobs and educations and opportunities that didn't have them 10 years ago don't think it's irrelevant at all,Claim,"((13671, 13798),)",I think it is highly relevant,Claim,"((12863, 12892),)",Support
they think it's highly relevant,Claim,"((13800, 13831),)",are highly relevant,Claim,"((13399, 13418),)",Equivalent
they wish the rest of the country had them,Claim,"((13836, 13878),)",The people who have jobs and educations and opportunities that didn't have them 10 years ago don't think it's irrelevant at all,Claim,"((13671, 13798),)",Support
"he has to do it, that is the law",Premise,"((14083, 14115),)",Governor Clinton has to operate under a balanced budget amendment,Premise,"((14014, 14079),)",Support
I hear it echoed by political opponents,Premise,"((15744, 15783),)",I don't think that's a fair shot,Claim,"((15697, 15729),)",Attack
I don't think it's fair,Claim,"((15789, 15812),)",I don't think that's a fair shot,Claim,"((15697, 15729),)",Equivalent
I think we've been fighting from day one to do something about the inner cities,Claim,"((15814, 15893),)",I don't think that's a fair shot,Claim,"((15697, 15729),)",Support
I have had it in every single proposal I've sent to the Congress,Premise,"((15921, 15985),)",I'm for enterprise zones,Claim,"((15895, 15919),)",Support
I've been speaking out since day 1,Claim,"((16277, 16311),)",I don't think in racial harmony that I'm a laggard on that,Claim,"((16217, 16275),)",Support
"We've gotten the Americans for Disabilities Act, which I think is one of the foremost pieces of civil rights legislation",Claim,"((16313, 16433),)",I don't think in racial harmony that I'm a laggard on that,Claim,"((16217, 16275),)",Support
I don't think the American people believe in quotas,Claim,"((16529, 16580),)",I don't believe in quotas,Claim,"((16498, 16523),)",Support
it took me to veto 2 civil rights quota bills,Claim,"((16444, 16489),)",I don't believe in quotas,Claim,"((16498, 16523),)",Support
we passed a decent civil rights bill that offers guarantees against discrimination in employment,Premise,"((16629, 16725),)",I've been speaking out since day 1,Claim,"((16277, 16311),)",Support
I think my record as a member of Congress speaks for itself on that,Premise,"((16820, 16887),)",I've spoken out over and over again against antisemitism and racism,Premise,"((16747, 16814),)",Support
"We've gotten the Americans for Disabilities Act, which I think is one of the foremost pieces of civil rights legislation",Claim,"((16313, 16433),)",I've been speaking out since day 1,Claim,"((16277, 16311),)",Support
I've spoken out over and over again against antisemitism and racism,Premise,"((16747, 16814),)",I've been speaking out since day 1,Claim,"((16277, 16311),)",Support
"on the economy, Mr. Bush said for a long time there was no recession",Premise,"((18488, 18556),)",He really didn't have a new economic program until over 1300 days into his presidency,Claim,"((18657, 18742),)",Support
then said it would be better to do nothing than to have a compromise effort with the Congress,Premise,"((18562, 18655),)",He really didn't have a new economic program until over 1300 days into his presidency,Claim,"((18657, 18742),)",Support
not all of his health care initiative has been presented to the Congress even now,Claim,"((18748, 18829),)",He really didn't have a new economic program until over 1300 days into his presidency,Claim,"((18657, 18742),)",Support
I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",He really didn't have a new economic program until over 1300 days into his presidency,Claim,"((18657, 18742),)",Attack
who realizes we have to abandon trickle-down economics,Claim,"((18934, 18988),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
put the American people first again,Claim,"((18993, 19028),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
"who will send programs to the Congress in the first hundred days to deal with the critical issues that America is crying out for leadership on -- jobs, incomes, the health care crisis, the need to control the economy",Claim,"((19034, 19250),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
Those things deserve to be dealt with from day one,Claim,"((19252, 19302),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
I will deal with them from day 1,Claim,"((19304, 19336),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
"They will be my first priority, not my election year concern",Claim,"((19338, 19398),)",I think it's important to elect a president who is committed to getting this economy going again,Claim,"((18832, 18928),)",Support
I think you're overlooking that we have had major accomplishments in the first term,Claim,"((19438, 19521),)",He really didn't have a new economic program until over 1300 days into his presidency,Claim,"((18657, 18742),)",Attack
"Go back to Jimmy Carter, and interest rates were 21%, inflation was 15%",Premise,"((19751, 19822),)",The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof,Premise,"((19824, 19952),)",Support
You don't have to go back to Herbert Hoover,Premise,"((19706, 19749),)",The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof,Premise,"((19824, 19952),)",Support
"if you're talking about protecting the taxpayer against his friends in the US Congress, go back to what it was like when you had a Democratic president and a Democratic Congress",Premise,"((19527, 19704),)",The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof,Premise,"((19824, 19952),)",Support
The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof,Premise,"((19824, 19952),)",We've cut it in half,Claim,"((19954, 19974),)",Support
he's not gonna be better off if we grow the government,Premise,"((20337, 20391),)","if we invest, as Governor Clinton says, invest in more government",Premise,"((20393, 20458),)",Attack
Of course he's not,Premise,"((20313, 20331),)",he's not gonna be better off if we grow the government,Premise,"((20337, 20391),)",Support
he's not gonna be better off if we grow the government,Premise,"((20337, 20391),)",You've got to free up the private sector,Claim,"((20461, 20501),)",Support
You've got to free up the private sector,Claim,"((20461, 20501),)",You've got to let small businesses have more incentives,Claim,"((20503, 20558),)",Support
I think they are,Claim,"((20260, 20276),)",We've cut it in half,Claim,"((19954, 19974),)",Support
"if a little of it comes my way, they load it up with Christmas trees and tax increases",Claim,"((20813, 20899),)",I have to stand up and favor the taxpayer,Claim,"((20905, 20946),)",Support
it's blocked by the Congress,Premise,"((20774, 20802),)","if a little of it comes my way, they load it up with Christmas trees and tax increases",Claim,"((20813, 20899),)",Support
"3 months -- quarters I've been fighting, 3 quarters been fighting to get the Congress to pass some incentives for small business. Capital gains, investment tax allowance, credit for first- time homebuyers",Premise,"((20564, 20768),)","if a little of it comes my way, they load it up with Christmas trees and tax increases",Claim,"((20813, 20899),)",Support
I did everything I could to get General Motors to face its problems in the mid-'80s while it was still financially strong,Premise,"((21688, 21809),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Support
"They just wouldn't do it, and everybody now knows the terrible price they're paying by waiting until it's obvious to the brain-dead that they have problems",Premise,"((21811, 21966),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Support
"Now, hundreds, thousands of good, decent people, whole cities up here in this state are adversely impacted because they would not move in a timely way",Premise,"((21968, 22118),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Support
the General Motors experience is relevant,Claim,"((22403, 22444),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Equivalent
"The thing that I am in this race for is to tap the American people on the shoulder and to say to every single one of you, fix it while we're still relatively strong",Premise,"((22154, 22318),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Support
"If you have a heart problem, you don't wait till a heart attack to address it",Premise,"((22320, 22397),)",I think the General Motors thing is very relevant,Claim,"((21637, 21686),)",Support
"When I was asked by our government to do the POW project, within a year the Vietnamese had sent people into Canada to make arrangements to have me and my family killed",Premise,"((22932, 23099),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
"I had 5 small children, and my family and I decided we would stay the course, and we lived with that problem for 3 years",Premise,"((23105, 23225),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
